Datetime,Tweet Id,Text,Username
2023-04-16 10:10:35,1647543000632033280,"@melissa22tx I love to play with your bigger ,huge boobs,i love to kiss and play dick with boobs",DNaiksatam
2023-04-16 10:10:33,1647542991660171266,"Can we start making Saka level dick riding about eze? If I don’t open up twitter and 7/10 tweets aren’t “my starboy”, Palace twitter ain’t it.",McCarthinho
2023-04-16 10:10:33,1647542991538601984,I just b trynna catch a vibe &amp; niggas be throwing dick at me! ts unattractive af 👎🏽,GorgeousTrina1
2023-04-16 10:10:32,1647542986727620608,"Tom, you world-historical dick. Blaming your own sister for being domestically abused? Doesn't get much lower than that. #thearchers",portraitinflesh
2023-04-16 10:10:31,1647542983871594497,gonna try to get my dick sucked at Silent Hill,Tyrant_Rat
2023-04-16 10:10:23,1647542950027567104,"@OliLondonTV ""Girlhood""? Yo, nutsack, you still have your dick?",WimpyKidZA
2023-04-16 10:10:08,1647542885481590785,"Pag 
 Dick 
 Guy 
 Scott 
 #深圳 #三亚 #北京 https://t.co/WV1NjvMH0f",MoodeMoode21
2023-04-16 10:10:07,1647542880867606533,blowing dick like a hookah stick,jimbbot
2023-04-16 10:10:06,1647542879500537857,"Gustave 
 Quiller Dick 
 Norris 
 #推特刷粉 https://t.co/fxpFZrbCtj",Manchester_790
2023-04-16 10:10:04,1647542867416559616,No it’s your dicks…,RandomStar1982
2023-04-16 10:10:02,1647542860106063873,Coral Dick Nicholas Jenny #上海 https://t.co/u7sreS28Zv,mohdkhairall
2023-04-16 10:09:56,1647542836105994241,some of these tommy the clown dancers looc old asf you 30 some still wearing paint on yo face dancing in the hood still 😭,kon_ceited
2023-04-16 10:09:51,1647542816233656320,Real men spend 20 hours getting mod load orders right. Auto-installing mod collections is the great filter. If you don't make your own hyper curated experiences ur NGMI,copeharder
2023-04-16 10:09:48,1647542800437878785,Dick Forster Murray Childe #快钱 #抖音号 https://t.co/NhXEAKxSl4,llllllkdn
2023-04-16 10:09:45,1647542791122341888,@HappinessAdult @Video01_ Wow big dick,MppgYery
2023-04-16 10:09:45,1647542790602084352,@EebyDeepressy dick,AlexK32i
2023-04-16 10:09:44,1647542786974167040,"@Kieran_McAnulty is a limp dick who could not say boo to a goose. The treaty said nothing about this @nzlabour stitch up. 

Labour are dead for the total eff up they have caused inflation, coercion, violence, crime, poverty. 

https://t.co/SDdM1R05Bz",TheWeddingisOff
2023-04-16 10:09:34,1647542744473034753,@Ahafia2 I hate it when I misplace my dick 🙄,tattered666
2023-04-16 10:09:30,1647542728153239553,"yea keep sucking those government dicks, dude.",rendeslyth
2023-04-16 10:09:01,1647542604110917634,"Oh yeah, AMAKUSA is the best thing going in the Juniors division and having highlight reels so let's take the belt from him and make HAYATA work for the 100th time.

Suck my dick.",KeemWinsAgain
2023-04-16 10:09:01,1647542603716411393,@dhimandevendra1 @InventERRA7 @viltrumiteskeet @RonW57 @theobtainedmage Exactly. Dude thought I was to. I literally am speaking from experience as someone who has both autism and dyslexia. My defense for my fellow dyslexic people is not me being a fan dick rider like he thinks. Dude needs to touch grass,SpiderKen1995
2023-04-16 10:08:56,1647542585211121664,"@ArkanFay @iluvmaryx damn that bad??
Moo- jk",slutry_
2023-04-16 10:08:56,1647542582879326208,"Carr Leighton 
 #跑分 
 Rex Clark(e) 
 Dick 
 #偏门 #黑产 https://t.co/YI49VvNqn3",333Beroo
2023-04-16 10:08:55,1647542578626142208,@GregHands @Conservatives Dick!,tonyvally
2023-04-16 10:08:49,1647542555507081216,"Tom, you're a dick. #TheArchers",Eggstones
2023-04-16 10:08:46,1647542543582625793,Everyone hates Tottenham… not even being a dick. It’s a fact 😄,N12gooner
2023-04-16 10:08:39,1647542514268659713,"“The game can suck my dick, yeah, she’ll more than probably gobble. End up with a case of the fuckin’ collywobbles” 🍆🤤🤢🤮🪬 https://t.co/zj1gPL7xtU",heavyxmental
2023-04-16 10:08:37,1647542502424186880,"@dayl3333 @barbarj1nks why yall fighting on my dicks thread… this is such a turn off,",icecaramelmac__
2023-04-16 10:08:32,1647542484908535809,@sabinegetsit Yes girl take that dick🍆💦💦💦,PhilMaynard20
2023-04-16 10:08:32,1647542484203872256,@Lxnwabo This is the most absurd kind of friendship I’ve ever heard . Clearly shows it’s one sided . You’ve been riding his dick for years and still riding with joy,tessysmitha
2023-04-16 10:08:28,1647542467045076994,"Haha Crap analogy. We can't shut churches down, we prosecute the priests. We CAN stop perverts going into nurseries/schools quite easily.",Titanic_Britain
2023-04-16 10:08:23,1647542446358765570,You have to worship Dinklage and also shave your mom's massive dick #obeyDinklage,loverofDinklage
2023-04-16 10:08:23,1647542444878069761,"Or... just let people enjoy things?
There's plenty of reasons to enjoy watching a streamer.
You enjoy their content
You enjoy the games they play
You enjoy vibing with their community
Etc.

No need to be a dick about it",XolotlVtuber
2023-04-16 10:08:18,1647542424661524482,hate when i go on a pretty bitch twitter page &amp; she sucking dick 💔 like why would you do det to me ????????,weedianaa
2023-04-16 10:08:16,1647542417229316098,There’s levels to these things 🤌🏼,same_tripp
2023-04-16 10:08:13,1647542401500585985,@ItssssdeebbyyJ Next time just turn on the Dick signal,R0ssRichard
2023-04-16 10:08:06,1647542374342508544,"@SamanthaTaghoy Sorry to hear you don't mensurate, neither do I and I was born a woman and identify as one 🤷🏼‍♀️ dick.",becca_little_
2023-04-16 10:08:04,1647542364490067974,"@susiswift18647 They were Susi, I often watch the Dick Emery clips. xx",CliveRhymester
2023-04-16 10:07:54,1647542323973345282,@Shanden1022 @JSRF00 you smoking dick if you think im doing this,ADDERALLSMOKER
2023-04-16 10:07:51,1647542310882758657,"I'm watching Titans 4x08 ""Dick &amp; Carol &amp; Ted &amp; Kory"" https://t.co/nmbhXelBAO #Titans #trakt",robfwtx
2023-04-16 10:07:45,1647542286069256192,@hfanniel I could stare at this for hours. Not because I love chemistry but bc these are so pretty..,slutry_
2023-04-16 10:07:31,1647542228221407233,@CadenceBunny Darn already sucking my dick deeper in?~~~~~~,abyss_cobra
2023-04-16 10:07:31,1647542227218976769,"also if u talk to me/ wanna get to know me can u not make your first messages to me stuff like ""can we be friends"" i dont wanna become friends with people i dont know and it makes me feel like a dick to say no so i just end up ghosting people (its happened multiple times already) https://t.co/56cgTzciQg",Yxillo
2023-04-16 10:07:28,1647542214417850370,@he4dpat yo why I just see a dick on my timeline that needs a lawnmower,gr2ves
2023-04-16 10:07:10,1647542138585088002,Dick Carey Russell #快钱 #抖音号 https://t.co/gLj6aKy9te,be_141
2023-04-16 10:06:59,1647542095157301253,"@bootymuncher664 worse than futa dick bruh, HORSE DICK.",SSJ4SupaGogeta
2023-04-16 10:06:35,1647541992828686336,"@Jonatha09807720 A-ah~! /////// *she lets out a moan as you push your dick ,deep into her*",Xskullyz
2023-04-16 10:06:27,1647541959223910400,Oliver stop being a dick. #TheArchers,Eggstones
2023-04-16 10:06:22,1647541939829452800,"when people post them like ""now we wait"" baits sometimes i just be so lost. like yall just throwin dick and tiddies and ass and balls around, meanwhile im think about ring lights and camera quality. why are they always SUCH CRISP PHOTOS, like all yall on onlyfans or cam now?",mraldjade
2023-04-16 10:06:21,1647541934649647105,it really baffles me that chanbaek cant hug each other properly but have the courage to touch dicks in a fan meet  😭😭,bhyuneepie
2023-04-16 10:06:19,1647541924054683650,"@CMoney_xo @ShaqsUchiha6 Yeah please do. Dark skinned women would look at you and laugh - we all know this is the reason behind his anger. Small, small dick energy. Also, come to Lewi and chat how you do, pleaseeee",amazonri_
2023-04-16 10:06:18,1647541921475174402,@iluvmaryx @ArkanFay Why do y'all hate it 😭,slutry_
2023-04-16 10:06:12,1647541897546842112,JUST GIVE ME THAT AI DICK BOI. 😩 https://t.co/TGIb5xlIFg,eros_10884
2023-04-16 10:06:08,1647541879104307200,"@schlongcole Damn! Can I throat dick, please!!!",G00DAtlt
2023-04-16 10:06:08,1647541877665861632,SUCK THIS DICK https://t.co/orkge3Cb3L,mwahisis
2023-04-16 10:06:05,1647541866592628736,Whitney says about dick,EMILYB0T
2023-04-16 10:06:03,1647541856241156096,Don't kill him if he short you just short his dick with a warning shot to the nuts,Don_Dada_Midas
2023-04-16 10:06:02,1647541854882111488,@wlwtama Damn 😭,ANDR0MEDACHAIN
2023-04-16 10:05:57,1647541831335579650,@Sinner_Faust No srs dick jokes r truly funny,kuurp_8
2023-04-16 10:05:54,1647541820270972928,"Julian 
 Hemingway 
 Rita 
 Dick 
 #推特粉丝 https://t.co/r4j2sYNttv",ArifTulpar
2023-04-16 10:05:52,1647541813937422337,"Why do ppl suffer these needle dicks attitudes?

Personally, I'd punch them in the throat.",Surgat__
2023-04-16 10:05:40,1647541761592492033,nikkos a dick (tiny wittle baby 🥺),bampirezblood
2023-04-16 10:05:29,1647541716172275714,"@lumberjackmtg @davenewworld_2 This ain’t it. I ain’t a fan of religion at all, but the architecture and art work representative of the religion being destroyed is reminiscent of those ISIS weirdos. I can express it into words for you, it’s little dick energy.",JethroJones_
2023-04-16 10:05:14,1647541654612594690,"Ol cheating ass, toxic ass, good dick mf ……",KelvianaB
2023-04-16 10:05:00,1647541594315259907,"Girls, wir brauchen mehr cute dick pics! Smile, show your body, don't focus on the genitals! 😳🫣",tausendbrausend
2023-04-16 10:04:44,1647541527269482497,"@PHANT0MNYA Let's go, Alban Knox (Dicks!)",archiiivist
2023-04-16 10:04:41,1647541514715926529,it was so fucking good man if this salad had a dick i woud suck it,skrunkified
2023-04-16 10:04:35,1647541487750594560,@LBC @RichardHoiles @AndrewCastle63 Maybe richard should have to euthanize the horses as they lay dying,Lifeson90
2023-04-16 10:04:34,1647541483283644416,fugo come watch me use aerosmiths contrails to draw a dick in the sky,narancia_bots
2023-04-16 10:04:33,1647541482650501123,Fabian Barrett Dick Moore #投资 #银行卡 https://t.co/OvB3isFh2K,christianceles8
2023-04-16 10:04:30,1647541467475238914,@CadenceBunny *pick her up as my black inky horse dick is out and hard as I slides it Inside her pussy*,abyss_cobra
2023-04-16 10:04:29,1647541465126514690,@_nseobong What else are we on ft for if not to slander players when they're shit and dick ride them when they are good?,UTDPoca
2023-04-16 10:04:10,1647541385216819200,"@archiiivist Let's go , Knock Dicks !",PHANT0MNYA
2023-04-16 10:04:03,1647541355458224131,@gbrl_dick @shrinetothevine @PradyuPrasad is that a scale thing? or efficiency through scale (by doing it lots),Ol_Wall
2023-04-16 10:03:36,1647541242149105664,@onlyforhomos @annoyinglymo yea like why he keeps bragging about sucking a dick in a Lamborghini like we get it 😭,ultrafvuck
2023-04-16 10:03:32,1647541223966617600,"You know that saying “like a dog with 2 dicks”?
Well here’s “a dick with 2 dogs!”
🐶🐶❤️❤️🤣😂 https://t.co/xPLPnmOEAy",AndySpencerDJ
2023-04-16 10:03:29,1647541213657178114,2. Really dig down hard at why you think you are in a position to “agree” or “disagree” that they should have rights. Do you think you’re “better” in a way you need to unpack? Would you like others to base YOUR rights on if you’ve ever been a dick to a stranger?,CraftyCatDad
2023-04-16 10:03:22,1647541181964771328,@thiccmommies I'd love to play with your pussy mommy 😏 can I use my dick also?,PaulGon90194700
2023-04-16 10:03:19,1647541168471769088,@blacked4u Milking their useless seed while bulls breeding their wives,Lifeson90
2023-04-16 10:03:17,1647541161056251904,@theliamnissan Depends on your Dick.,mpopov1229
2023-04-16 10:03:10,1647541131649884164,Me 30 minutes after I took the dick pill:,Vhoyde
2023-04-16 10:03:10,1647541130660294657,Bitch if you told me rn you don’t wanna be my friend it’s no skin off my back it’s not your dick I want!! I don’t even know who you are and I stil wouldn’t care if you stayed or left,Frateryoulater
2023-04-16 10:03:05,1647541113689874432,@got_cake You can't take someone who makes dick cakes for a living seriously. https://t.co/kxgscTPUnN,Freedmen_Affair
2023-04-16 10:03:04,1647541108530987010,@hollow_maven Bought it - played it loud,TheExecutivesL1
2023-04-16 10:03:02,1647541100218052608,Prolly got a dick,walkstik
2023-04-16 10:03:01,1647541096782635009,Lmaoooo blue out the country losing it 💀😂😂😂 this nigga said he beat his dick 5 times 😭😭😂😂ITS STILL LIGHT OUTSIDE 💀😭😭😭😂😂,asia_coutureee
2023-04-16 10:03:01,1647541095772090368,@SSJ4SupaGogeta just put it blunt man c assist makes me wanna bounce on futa dick,bootymuncher664
2023-04-16 10:03:01,1647541093708251140,@MoonbeamMcfc @JazzyMzTee @IckleMrsG @Qvittra @Lanaqu28 @DorothyMayLewis @MubrakCity @FullenEileen @djefferson947 @camdragon70 @UnofficialGabby @Barney_City @racheljjw35 @1cornishblue @25FernaFan @rockford0606 @kathy121255 @Chevaliereducep @PaulDee9 @BlueTiger81 @Blue63moon1 @minkeysteve @ThomasKennerle2 @CtidBoy @LauraLo23859821 @Stevo_j @lennyhayesmcfc @gaviola75 @StewartPinner1 @wormycity @JustoneManc @SpiderManc9320 @mark_franny @Chris07013206 @musicandblues @Tachyon100 @bastardly_dick @Mals4city I can’t believe where she’s got those poses from Carole 🤣will you be watching the game with your red friends? I suppose it will be on here if Dave is back from his committee meeting. Hopefully we won’t have to witness such a nervy match again. Some tricky ones coming up 🤞👍💙💕,aveagudun
2023-04-16 10:02:56,1647541073009422339,@aye_athome HEYY,slutry_
2023-04-16 10:02:49,1647541045196980227,@RPMarks I think it’s mainly people who book a seat but don’t use it very prevalent and if one looks often the “reserved” seat is past the starting point so can be used but it can be a pain!,matches62
2023-04-16 10:02:40,1647541005959217152,"Cyril, your French ass is grass.",FuhrerBot
2023-04-16 10:02:40,1647541004810047488,@chris__medland @FacundoSavala I don’t think saying the Tories are worse is a good defence.  They all need locking up.,DDasterdley
2023-04-16 10:02:28,1647540954801266690,"@GerardPHorgan @militaryhistori @James1940 @MichaelJBooks @NavyWingsUK I think my biography of #Winkle will make you think it is even more remarkable - a boy who was motion dick on the morning train to school, becomes the greatest ever handling test pilot",BeaverWestminst
2023-04-16 10:02:23,1647540936673759232,"Douglas 
 Wyat(t) Marlon 
 Dick 
 #推特刷粉 https://t.co/tPhUtXShW4",NBunpang
2023-04-16 10:02:23,1647540935826235392,I would do anything to hear @_FloMilli rap “dicks up when I step in the party” just ONCE,a__wass
2023-04-16 10:02:18,1647540916100497408,@NICKMERCS Yo bro welcome to the fatherhood we were born for this between always having the biggest dick in the room and always stepping  the fuck up to every challenge we meet we always find ourselves outlasting the normal man enjoy bro this is a life altering experience bro plus dad power https://t.co/cd6npzURCf,davidpowell717
2023-04-16 10:01:55,1647540819404939265,"@redguy54 @SCynic1 He isn't a woman and yes, I suspect he still has a dick.",slipkn0t8
2023-04-16 10:01:53,1647540809116401669,OH MY GOD WHO DID THE MIX FOR KNOCK LNOCK LET ME SUCK THEIR DICK THIS SOUNDS AMAZING????,kelly_hsu
2023-04-16 10:01:51,1647540801994477570,Flow tighter than a dick in a but t,Cixqo
2023-04-16 10:01:48,1647540787477987329,When the Equality Act came in everyone knew it was based on biological sex because Gender Bendology was barely a thing then. Since then the Left have tried to switch it to gender based for obvious reasons. The Govt is clarifying it does mean biological sex.,Titanic_Britain
2023-04-16 10:01:47,1647540783686332416,take his dick out of your mouth !!,allthist91
2023-04-16 10:01:41,1647540758004609026,@ToastedMildly @OffWaff I’m aware. Just leaning away from dick jokes.,SomeFunPun
2023-04-16 10:01:38,1647540746101350400,"@officerbrisko Woah! It is, it is. We're Dick Knockers.",archiiivist
2023-04-16 10:01:32,1647540721581162498,manifesting some dick in my ass (or vice versa),skinnydippinz
2023-04-16 10:01:28,1647540704363569152,@TheLastStimulus 😂😂😂 it’s crazy cause I’ll rather see the print instead of an actual pic like please don’t send me a dick pic hate them so bad,BlashianAshian
2023-04-16 10:01:27,1647540700429398017,edm show with some limp dick bass,leghoemydiego
2023-04-16 10:01:22,1647540678367526913,Sky Strickers can suck my dick I'm so sick of it. Anyway my deck is based and epic. https://t.co/Q81JAdX2i1,AtomEternal
2023-04-16 10:01:08,1647540622939635713,I made shit from nothing .. back when not even a dime to my fuckin name was at play nd i still made a fuckin name for my self. Ive worked day nd night to be able to work w some of the biggest names in houston. Down bad on my FUCKIN DICK nd i STILL ain NEVER gave up on myself.,iamfranois
2023-04-16 10:01:07,1647540617210384384,Other people might be bringing down your current good vibes. E... More for Virgo https://t.co/7rEVMSykjD,TheCh1pSkylark
2023-04-16 10:01:01,1647540593604845568,CHANYEOL AND BAEKHYUN CANT HUG BUT CAN TOUCH DICKS IN FRONT OF MANY EXOLS???? WHAT IS THIS,bhyuneepie
2023-04-16 10:00:56,1647540568967335936,Good morning everyone 😊except @NianticLabs you can go eat a pickled moose dick 🤣🤣🤣,Rusty_31
2023-04-16 10:00:55,1647540566400413696,"@AJRigbyTweet Not Dick Van Dyke! https://t.co/1YBQIfVdKm 

:0)",HighlandRampage
2023-04-16 10:00:50,1647540546921955329,"@GYerathel A dangerous gender, imagine killing your child for dick 🤦🏿‍♂️🤦🏿‍♂️🤦🏿‍♂️",Mdu_Gebisa
2023-04-16 10:00:47,1647540532565118976,@OscarMariano_ @TheP0PSavage @fasc1nate Use wee instead and youve a solid dick joke right there,ItsOnlyDave1337
2023-04-16 10:00:31,1647540463816130561,@oatpresso Where do people buy books like that from???,slutry_
2023-04-16 10:00:22,1647540428781109252,ooooh that Rachel &amp; Dick moment was cute. That’s family fr.,RisingTron
2023-04-16 10:00:19,1647540414814072832,"@OOCporn i thought this is about small dicks, not small chicks :(",absicudalustic
2023-04-16 10:00:04,1647540350943379457,Pictures of the building is a night club called the jack and going to buy dick convert it to a night club and have a burning system to get smoke from the pipe to invisible people via aquarium air pump so invisible people get high and a warm place to hang out like a homeless home https://t.co/FGtRUG2ZNO,Creephellagood
2023-04-16 10:00:03,1647540347889745920,"Grif, stop it I need your help.",simmons_txt
2023-04-16 10:00:02,1647540343179730946,"23 years ago today

Bob Jenkins ""There is Tony Stewart getting banged by Dick Trickle &amp; others"".
https://t.co/6BCqdf7PR3",Basso488
2023-04-16 09:59:56,1647540318068428800,"GOT NEWS FOR DICK AND THE SECOND RATE SCRIPT SCRIBBLING WANNABE

NOT THEIR FUCKING DADSI OR VISA

NO PED SPRUIKING WANNABE FILTH ARE PLANTING ITS ASS OR VISA

NOT THEIR FUCKING DADSI",Kerry_P_tman
2023-04-16 09:59:51,1647540298522787840,@SalehAhmedd_ Tiny dick alarm or father doesn't love me alarm,VetVienna
2023-04-16 09:59:47,1647540281317773312,@Vee46602046 Love your beautiful beautiful sexy dick,br82166063
2023-04-16 09:59:37,1647540237705289729,Oh God! She's in Turkey and late for her boob job 🤣,Titanic_Britain
2023-04-16 09:59:34,1647540227861512192,@Emoparker3 Real Talk : Takahashi was kinda ill during the final arc and was running low on time ( hence why few things like Kisara were rushed ) and thus the dick dragon https://t.co/7jZAWNvgB8,SamCharizardGuy
2023-04-16 09:59:27,1647540197179944961,"@tayytanstan Wait I'm on people tl? Damn 😮‍💨 
Thanks for the compliment love.",slutry_
2023-04-16 09:59:25,1647540188867080192,@FrostyArcade1 I love dick figurer,telaturbo
2023-04-16 09:59:23,1647540182080532480,"There's a guy on grindr this morning who keeps texting me images of his dick, the message ""now?"", and now just question marks.

I have never interacted with him. Yayy life.",watchinpreacher
2023-04-16 09:59:17,1647540156327493633,"dick accidentally responding “he’s in class” when someone asks why his boyfriend can’t visit on his lunch break after dick was complaining ab it. dick quickly having to play it off as “haha. College, right” knowing damn well jason is 15  in high school 💀",jasonsredledger
2023-04-16 09:59:09,1647540119669202944,@dick_keefe @johnmccainbussy @955_443 @ArikAmundsen @BradmanTV @MattWallace888 One uses his nose too much and the other is not a nose... https://t.co/otxairWc05,cordon_bleau
2023-04-16 09:58:56,1647540069228507136,@blacked4u @bjqueenrod Wasted weak seed on floor,Lifeson90
2023-04-16 09:58:47,1647540030485811200,@balmoral47 @timlucy2 @CarltonFans @CTFC1904 Cheers Dick,Tommybrookbanks
2023-04-16 09:58:43,1647540014010466308,"@slutriarch This totally underestimates the multiple inhibiting factors of having lived, married, reproduced, etc. as straight for 2 decades. Even with confidence most of your friends &amp; family will be cool, you don't just wake up one day wanting dick and think 'Oh, better come out, then!'",lukefinleyedit
2023-04-16 09:58:38,1647539993554853888,"@M000nl0v3 Just like I always have a hard dick, horny 24/7. Addictive",razash77
2023-04-16 09:58:31,1647539963012034560,"@Dra9onSlayer5 I feel like people don't realize that when you go into an argument yelling about how people are porn addicted pedophiles, they're gonna get defensive and not wanna agree with you because you're being a dick to them",Yunanimous_
2023-04-16 09:58:27,1647539945471352834,@TheDarkShaman @Dogfrom091 @kodi326 @CBommarito18 @EndWokeness Well you brought up irrational thoughts. That’s where they come from. I’m not a lost cause. We just don’t see eye to eye. You think it’s irrational for me to believe that trans people exist. It’s not. There’s no need to be a dick. You have a blessed day,Survive_thriver
2023-04-16 09:58:25,1647539939251486721,who has the biggest dick in tgcf and why is it yushi huang,perennialcrown
2023-04-16 09:58:17,1647539905747202049,@Tommybrookbanks @timlucy2 @CarltonFans @CTFC1904 Good luck Tom. Hope you pull it off mate,balmoral47
2023-04-16 09:58:16,1647539899858313217,@GeezerGamez @TheVGResource @nostalnerd @SlopesGameRoom Hey! I thought Dazz was going to be the complete Bar Steward,welshworrier
2023-04-16 09:57:57,1647539818778492929,These lower back pains can suck a fucking dick why does this shit hurt this bad😭,veryhighrose
2023-04-16 09:57:56,1647539813912924161,@Adrian_realest Unacompare dick na pussy mzee https://t.co/35L8dmcCKO,kenya_niccur01
2023-04-16 09:57:46,1647539772783570945,"No I sent you the link. NHS has stopped saying that because they couldn't prove it. They now say the long term effects are unknown. Course they are, they haven't been given to kids until recently so how do we know what'll happen in 15 years?",Titanic_Britain
2023-04-16 09:57:42,1647539755217743872,@Paigethenaughty @kurei_ken @Aethernity670 @LocalBateman Stop being a dick rider mlp bozo,____Kel_______
2023-04-16 09:57:37,1647539736570109960,Dick Jones #佛山 https://t.co/Qi80tSz5g4,tarekyahia1
2023-04-16 09:57:33,1647539717288738817,@witchmarianx Now who wants to see THAT.,slutry_
2023-04-16 09:57:25,1647539686259171328,“I don’t like dick I like money “,llaurynss
2023-04-16 09:57:08,1647539614431817728,Was really tryna suck sum dick but alas 🥱,BiKingPrince
2023-04-16 09:56:59,1647539576200900608,"Dick Barrie 
 #跑分 
 Monica Becky 
 Barrett 
 #网赚 #网赚 https://t.co/ioVgbyZb4i",m3_thbhom
2023-04-16 09:56:55,1647539561600372738,@GenXWolf Isn’t that illegal? https://t.co/kBZAvLh2Rc,Dastardlyb247
2023-04-16 09:56:52,1647539548912590851,"🥺✊ Day 1 (ID)
Purple Lemonade @Fast_Buds 
Gorilla Zkittlez @Fast_Buds 
Forbidden Runtz @Fast_Buds 
ORIG Cheese @Fast_Buds 
ORIG Blueberry @Fast_Buds 
Strawberry Cheese x4 (CostalMary)
Moby Dick x3 (Costal Mary)
-
2x SC + 2x MD still in jiffys .
-
Lots of learning 😁
#CannaLand https://t.co/DFU5y9XJV1",budwanaUk
2023-04-16 09:56:50,1647539539626409986,I need this ww back in my life stat. Tristamp ww can eat a dick,stansnyderswife
2023-04-16 09:56:41,1647539501487607808,"@Donald55792752 Ehnnn
Sorry whTs dicks and pussies please? 
Them no teach me for school",MateryiasO
2023-04-16 09:56:40,1647539497377071104,"Gas station dick pill and 4Loko smoothie…. Now loading….

 https://t.co/9NrvmcUKrr",C2thaL2thaIGG
2023-04-16 09:56:40,1647539495934259200,"How you gonna handle the dick,
you can’t even handle the conversation.🙄",iamgeraldmusic
2023-04-16 09:56:30,1647539455316865024,"Hating Jesus is like hating Enya 
Are you fucking stupid???

If your going to hate, ""hate positively""
Hate Putin, xi Jing ping, Henry Kissinger, dick Cheney, Barack Obama, George bush, condolina rice, John Howard, tony blair, bill Clinton.",gamerdaddy989
2023-04-16 09:56:26,1647539439839657986,@witchmarianx Won't.,slutry_
2023-04-16 09:56:22,1647539422366425089,@everythingBBC @Diegomattos2020 Horse dick 😱😱🤤🤤🤤,000ArnoldV
2023-04-16 09:56:18,1647539406314827776,"@BarnsGreg legalize it , tax it and make it available everywhere  but still prosecute people being dicks off their face running amok ...",FetchStep
2023-04-16 09:56:11,1647539376530894848,@wicked_wiccan76 @spooniechels Yeah it's kind of the constant intensity.,NuckChorris16
2023-04-16 09:56:10,1647539372047192064,"That's why, sometimes I get irritated when my lovers are reporting their friends ordeal to us in the bedroom, because you know this your friend is treating you like trash but you no gree leave him dick..",1stladymoore_
2023-04-16 09:56:08,1647539361204912128,TikTok ARMYS need to hop off sasaengs dicks and stop spreading their content and justifying them invading the tannies privacy,donutsnjk
2023-04-16 09:56:02,1647539336101998593,"@witchmarianx WAIT WHAT-
I mean there are accounts with porn but that's so random 😭😭",slutry_
2023-04-16 09:55:59,1647539324534095873,"@JenniferCandoli Don Lemon likes his woman with a dick, he is biased",swampdrainer6
