Datetime,Tweet Id,Text,Username
2023-04-16 10:18:58,1647545109754548224,@RT_com Usa is a democracy lol 😂,Russia2_mrf
2023-04-16 10:03:01,1647541094098554881,@DrippyTwitch @VisualsByVaan @Oioioim869 He’s referring to black people as niggers😭 bro your okay with that?,Mike30076285
2023-04-16 09:57:44,1647539765930065920,"I've checked and P.G. Wodehouse's 'Right Ho Jeeves' uses the word 'nigger' once. Instead of censoring it, they could simply include some smelling salts with the book, in case any left-liberal person reading it passes out. https://t.co/FCZB1fdvK0",markoah
2023-04-16 09:52:16,1647538389107851266,"@my_umieverse @heyyitsjanea Just like ""nigger"" initially literally meant ""black"", the word kaffir lost its religious/literal connotation was used as a derogatory for black people of all faiths, kinds and backgrounds",bonganiRa
2023-04-16 09:44:43,1647536489855606785,"@MUCHEKADZAFA_ @paulmuchemwa2 Reserving the right kuita zvatinoda nemari yedu nehupenyu wedu , is being brainwashed. Ita straight",mqhe_eli
2023-04-16 09:42:51,1647536020538421249,@h3h3productions @Idubbbz @AnisaTheGreasy Yeah the same guy who went up to tana and tried to get her to say nigger! Dudes super nice!,KardiaGENv
2023-04-16 09:40:37,1647535457436160002,@Eddie_t2 @paulmuchemwa2 Insinuation my friend,mqhe_eli
2023-04-16 09:40:14,1647535361378209792,@eightof23 @paulmuchemwa2 Makabirwa or makabvisa mari yenyu mega the choice was yours and that same choice still remains ours. Musamanikidze vanhu kuita zvamunoda,mqhe_eli
2023-04-16 09:06:32,1647526879023308802,"@PhreshyConcepts @jon_d_doe @Isra_el__ If a call comes in when I know ain't the main niggar, omo nah to quiet down and let the main nigger talk finish, she then comes to narrate and we do well to state the advantage of the main gee, so she could keep the peace, if table turns they would try calling at midnight...werey",peter4d2
2023-04-16 09:02:36,1647525889528168448,@dr_dash250 Thanks bro,khal96043
2023-04-16 08:26:27,1647516792863195137,@LockInRonaldo @FTJenna_ @90Z1O - calls me nigger,legoatfcb_
2023-04-16 07:54:35,1647508771680276480,"@Mike_Batt @MTSundayExpress @midgeure1 And the unforgettable B side, ‘Nigger Blues’…",estasnideV2
2023-04-16 06:48:27,1647492132578492417,"@Bonycdm09 This nigger😂😂
Sell your work!",peaceful_kid__
2023-04-16 06:29:09,1647487273804656640,@_Endangeredback @TarikuMs You heard me nigger,AddissAlemayehu
2023-04-16 05:57:32,1647479317423702016,so like on Insta I got banned for a while bc I told sm1 to k1ll themselves but so they can call me a nigğer like ok same on here I got banned for a bit for doing the same thing but they were making fun of me being assaulted like hello????,bunnyKitti
2023-04-16 05:45:21,1647476250368245761,@WWE @SuperKingofBros @FightOwensFigh @SamiZayn @WWESoloSikoa I hate Sammy now 😭😭😭😭,THAT__SCOPER
2023-04-16 05:38:41,1647474571665195010,never been a time where their family wasn’t racist. It was always “oh we’re not racist blah blah blah” no one’s ever racist until it concerns their daughter. Then I’m a no good nigger or a wetback. Whatever they come up with for why I’m not good enough to be with their daughter https://t.co/nxiE3icvAJ,iamKingTriton
2023-04-16 05:23:14,1647470683427860480,I got a video of this white man sending me a video trying to be a “black rapper” and saying nigger bc he wanted to make a joke. Should I post it??,mariiii_w
2023-04-16 05:13:46,1647468302376255488,@KlavotsH @DrippyTwitch @Oioioim869 White people when you tell them don’t say nigger https://t.co/jvHEdWHXbT,VisualsByVaan
2023-04-16 04:58:43,1647464514495950848,"Hey, your life your choice. No need to express it here",AD_maiauduga
2023-04-16 04:34:55,1647458525889826817,@niggers among us lobby,UltraRape
2023-04-16 04:04:18,1647450818839289856,"@RiggedSports32 @RealMona_ @FightHaven Have you ever went to a store, minded your own business and got called a “nigger”?",IlI_IlI_lIl
2023-04-16 03:01:43,1647435070892920832,@ermal_nigger @realRubenSim im retarded and forgot how to grammar,LBoy648
2023-04-16 02:57:40,1647434052750934016,@HalleBailey nigger🤮🤮🤮,trickh1999
2023-04-16 02:56:26,1647433741575266309,"He’d probably call me a nigger, but Jimmy Dugan.",LCfromLCVA
2023-04-16 02:31:51,1647427553412489217,@Swaxifyy @jermbehoopin @Vrrtxs @Emxtionbtw @youtubezixry @ypolo34 GET BACK NIGGER👺,PsychoKingz1
2023-04-16 02:30:54,1647427316987863045,He just bout called her a nigger lmfaoooooooooooooooo his face was hilarious,StillThaGawd
2023-04-16 02:12:36,1647422711717675008,@n8fromthe8 How she grindin on a nigga to this song,Philly_Blunt35
2023-04-16 02:10:49,1647422262948028416,@nojumper This absolutely scream niggers🙄,BlondeJohnnyy
2023-04-16 02:09:58,1647422048782671874,Niggas killed my man's I'm riding wit a picture up,Philly_Blunt35
2023-04-16 02:03:02,1647420304333893633,"Getting a dm from PJ is a coin flip between being called a ""nigger-loving Brazilian child rapist"" or being sent racy monster girl art",ImperialCoper
