Datetime,Tweet Id,Text,Username
2023-04-16 10:13:13,1647543659959648258,"Strike Force, the world needs all of your tits; all of your asses and your vaginas as well!",badhentaibot
2023-04-16 10:13:08,1647543641752342528,My tits got so many compliments tonight 🩶🫶,jazzxlune
2023-04-16 10:13:01,1647543612027330561,@mobrui i want to see her cum from her tits being played with alone,mobtou
2023-04-16 10:12:45,1647543545576796161,@carltonreid @Togetherdec @BBCLondonNews Shut up Carlton you utter tit! You are looking rather silly right now,Robinsredsbest
2023-04-16 10:12:39,1647543518808686592,Ima get my tits done before my bday,lilowtheshits
2023-04-16 10:12:30,1647543479944503297,@RugbyInsideLine What the meaning of a Mexican wave in the the UK? Because in France they just consider it as a good entertainment in a stadium..,TGorin
2023-04-16 10:12:17,1647543426164965376,@fonforest They asked for a Tit for the cover . I misunderstood and sent them .. https://t.co/hRZ9JzyZPR,castusthered
2023-04-16 10:12:05,1647543376579813379,@ishhhhhhha tit for tat,aishhthetics
2023-04-16 10:10:53,1647543074438955009,Sausage Boy... #TheArchers #Tit,tribarac
2023-04-16 10:10:32,1647542986191044608,"Geez, Deborah...

I thought you'd caught up with the ""Personal"" part of the ""Public"" Health response..

About as useful as tits on fish..

Just Sayin' @DALupton 😢😢",DavidJoffe64
2023-04-16 10:10:27,1647542963499589635,"Be prepared! There's a rumour circulating that a former crime minister plans to make yet another comeback after the Tories take a drumming at the locals! Can't give a name but I'm told blonde hair and big tits. Mind you, that rules out Truss!",PhilMyers53
2023-04-16 10:10:12,1647542901247991813,Twitter became titer now and tweets become tits,relaxedvnny
2023-04-16 10:10:00,1647542853298421762,Just horrible dreams living in apartment with dad and he keeps opening the blinds and I keep closing them and no one will hire me and rough dudes grabbing my crotch and tits just total misery girl rubble dead deserted,Katieki16788178
2023-04-16 10:09:38,1647542761267281920,@Phytuber Tits are the best on any gender,alicehwyy
2023-04-16 10:09:32,1647542734448889857,"you got followers cause you showed your ass and tits on the media, remember that 😂😂",Angel96581918
2023-04-16 10:09:23,1647542697534562310,@maesolteir4_ Hi cutie,tit8813
2023-04-16 10:09:20,1647542683513024513,@irishelt Biggest problem regards covid perception was it was not severe enough percentage wise so people got complacent about it (&amp; idiots were created) if Covid made u 100% for yer balls n tits to fall off everyone would be screaming fir vaccine… https://t.co/rdZhuLPA0l,AirWaterSnow
2023-04-16 10:09:05,1647542621047234563,"@skylersquirt @MissTamsinRiley @RedHeavenMedia1 I mean who wouldn't look at those beautiful tits. But tbh, your smile makes everything even more gorgeous! Just love seeing you being happy!",schlagsahne94
2023-04-16 10:08:26,1647542457624666112,"Oliver is really getting on my tits. 

#TheArchers",TheCiderShedPod
2023-04-16 10:08:23,1647542443812745218,@Gilm63 Massive Tit …does it for me 🤣🤣🤣,xraypat
2023-04-16 10:07:57,1647542337785024512,@SINlSTERSHAY my tits are just an umbrella to the rest of my body tbfh,RI0TRAVEN
2023-04-16 10:07:54,1647542325491429377,"@JamesHyder14 @Bh0045 Well I didn't want tit for tat at first. But the shit the Dems have pulled, I hope trump comes in with a swift and heavy hand and destroys the democratic party. They opened Pandoras box and they operate as they see fit!",DMcmilin
2023-04-16 10:07:17,1647542168662290433,@british_joanna Tits and pussy,b00mer23
2023-04-16 10:07:12,1647542147497996288,@aeri_tAnZzzzz Tits whut ?,mxtxislove
